product_title,product_details,product_color,product_url,image_url,image_path
Clutch,"Material unknown, Black",,https://www.thredup.com/product/women-coach-black-clutch/148041805?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/510061599/retina.jpg,thredup_images\6af0f15c-c0b1-4118-ad79-c48a90ace8d8.jpg
Long Sleeve Blouse,"100% rayon, Long sleeve, v-neck, polka dot print, bow accents, bow & tie, black, blue, work",,https://www.thredup.com/product/women-rayon-faithfull-the-brand-x-anthropologie-black-long-sleeve-blouse/147625316?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/508264179/retina.jpg,thredup_images\7620ee15-608a-4eeb-8cba-374d7eddb378.jpg
Casual Pants,"97% cotton, 3% spandex, Floral print, multi color, pink, straight leg cut, low rise waist",,https://www.thredup.com/product/women-cotton-lilly-pulitzer-multi-color-casual-pants/147494829?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/507736056/retina.jpg,thredup_images\bd4e241b-b819-4ad2-ae36-6e8872a76572.jpg
Jeans,"2% spandex, 98% cotton, Boyfriend, solid, ripped, distressed, blue, this brand may run small, boho, distressed detail, medium wash, boyfriend, mid rise waist",,https://www.thredup.com/product/women-spandex-7-for-all-mankind-blue-jeans/146796680?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/504357614/retina.jpg,thredup_images\9fa3fd62-6d90-48f7-9d5c-1712dc28428f.jpg
Casual Dress,"Material unknown, Strapless neckline, open neckline, mini silhouette, ruffle accents, frills & ruffles, multi color, red, boho, short",,https://www.thredup.com/product/women-free-people-multi-color-casual-dress/146733375?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/496703872/retina.jpg,thredup_images\2c4db863-761d-4a85-9dbf-93f203168d07.jpg
Dress Pants,"70% polyester, 27% rayon, 3% spandex, Black, work, flared leg cut, mid rise waist",,https://www.thredup.com/product/women-polyester-donna-degnan-black-dress-pants/146283629?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/501859018/retina.jpg,thredup_images\705910bd-63d2-407b-98c7-d5dcd066ca03.jpg
Blazer,,,https://www.thredup.com/product/women-polyester-anne-klein-black-blazer/145280821?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/497020170/retina.jpg,thredup_images\5eb461fc-9a46-4d66-b8f2-0640500b92f0.jpg
Long Sleeve Top,"93% viscose, 7% elastane, Long sleeve, v-neck, solid, black",,https://www.thredup.com/product/women-viscose-strenesse-black-long-sleeve-top/143659978?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/489064557/retina.jpg,thredup_images\8b63daab-eef1-4862-86a2-36289f9ab8ec.jpg
Casual Dress,,,https://www.thredup.com/product/women-free-people-burgundy-casual-dress/165754763?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/587678570/retina.jpg,thredup_images\19fbcc7a-8b4d-42a6-9088-4086c560aac8.jpg
Jeans,"Material unknown, Cargo , black, this brand may run small, high rise waist",,https://www.thredup.com/product/women-true-religion-black-jeans/165689942?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/587401869/retina.jpg,thredup_images\13d13a96-45cc-45ff-832b-ba0012f4466b.jpg
